cluster,cluster_name,product_count,percentage_of_total,avg_revenue,avg_customers,avg_visits,avg_revenue_per_customer,median_revenue,revenue_contribution,top_product_example
0,Star Products,4669,15.304684170846036,2690.845412107518,237.735917755408,540.5566502463054,11.964599589689744,1428.2696700000001,71.59183450995262,11740923
1,Low-Performers,6524,21.385255842921296,79.55620209687308,6.832618025751073,9.587982832618026,12.069756063173717,63.91999,2.9575960904366636,11677346
2,Average Products,8729,28.61310518897302,300.6254458838355,43.38606942375988,76.48344598464887,7.397219174977315,257.38,14.953439575359956,11744480
3,Low-Performers,4417,14.47864424558298,30.646880144894723,6.961965134706815,9.494226850803713,4.383590378322342,25.33,0.771373185676843,14102417
4,Frequent Purchases,3923,12.859343757170485,425.41042954116745,19.192709660973744,46.26076981901606,26.317531822741646,304.73983,9.509929775193147,11603103
5,Low-Performers,2245,7.358966794506179,16.87090131403118,1.8650334075723831,2.066369710467706,8.933752894680707,9.99999,0.2158268633807879,15580204
