,distinct_customers,revenue,number_of_visits,avg_revenue_per_visit,avg_revenue_per_customer,purchase_frequency,total_quantity,unique_sale_days,avg_daily_revenue,cluster_name,product_count
Cluster_0,158.4160146025211,1716.3415805718255,328.3850586085926,5.305930715670774,10.935681148497162,2.0917588007444414,384.36588036704615,129.90876880987545,8.064733111003124,Star Products,4669
Cluster_1,5.656369459760536,62.73110093174955,7.749272796506535,8.375275245286312,11.5301264932836,1.3946243300463608,8.467676126006731,7.290665873532911,0.6147520903395949,Low-Performers,6524
Cluster_2,35.962696923195665,250.11770430371044,62.93782387879871,4.035570902234247,7.043420499257712,1.7646787924187568,69.79907990198039,48.192054740199325,1.3263175931896463,Average Products,8729
Cluster_3,5.537200704576958,21.81498636728403,7.1482203475824235,3.198819663165387,4.1075744351483285,1.3038476391983163,7.550886182800509,6.479024243517264,0.48075608766492756,Low-Performers,4417
Cluster_4,14.472980295399763,286.38887176632204,33.424490645383074,8.742833422233549,20.617044462136814,2.4150244294352303,40.055607289585744,28.566389230509216,1.778691904350234,Frequent Purchases,3923
Cluster_5,1.4461224368836003,10.870929221622507,1.5045285526531416,7.73231365170383,7.971215157981154,1.0340501683472247,1.6524475697352985,1.290880201100438,7.736801041706466,Low-Performers,2245
